timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649937458819,375,/addtocart-207,200,OK,Full Transaction Thread Group 2-2,text,true,,331,544,3,5,https://api.demoblaze.com/addtocart,375,0,0
1649937459195,864,/index.html-208,200,OK,Full Transaction Thread Group 2-2,text,true,,19926,517,3,5,https://www.demoblaze.com/index.html,810,0,566
1649937460059,419,/addtocart-258,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,3,5,https://api.demoblaze.com/addtocart,419,0,0
1649937460477,390,/addtocart-260,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,3,5,https://api.demoblaze.com/addtocart,390,0,0
1649937460868,531,/index.html-261,200,OK,Full Transaction Thread Group 2-2,text,true,,4992,518,4,6,https://www.demoblaze.com/index.html,528,0,0
1649937461399,374,/addtocart-314,200,OK,Full Transaction Thread Group 2-2,text,true,,331,545,4,6,https://api.demoblaze.com/addtocart,374,0,0
1649937461773,383,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-2,text,true,,801,487,4,6,https://api.demoblaze.com/viewcart,383,0,0
1649937462157,459,cart/view-339,200,OK,Full Transaction Thread Group 2-2,text,true,,777,449,4,5,https://api.demoblaze.com/view,458,0,0
1649937462616,355,cart/view-340,200,OK,Full Transaction Thread Group 2-2,text,true,,778,450,4,5,https://api.demoblaze.com/view,355,0,0
1649937462972,1373,cart/view-341,200,OK,Full Transaction Thread Group 2-2,text,true,,839,450,5,6,https://api.demoblaze.com/view,1373,0,0
1649937464345,439,cart/view-342,200,OK,Full Transaction Thread Group 2-2,text,true,,757,449,5,6,https://api.demoblaze.com/view,439,0,0
1649937464784,348,cart/view-343,200,OK,Full Transaction Thread Group 2-2,text,true,,684,450,6,7,https://api.demoblaze.com/view,347,0,0
1649937465132,349,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-2,text,true,,502,493,6,7,https://api.demoblaze.com/deleteitem,349,0,0
1649937465483,340,delete items/view-374,200,OK,Full Transaction Thread Group 2-2,text,true,,838,449,6,7,https://api.demoblaze.com/view,340,0,0
1649937465824,404,delete items/view-373,200,OK,Full Transaction Thread Group 2-2,text,true,,649,450,6,7,https://api.demoblaze.com/view,404,0,0
1649937466229,407,delete items/view-372,200,OK,Full Transaction Thread Group 2-2,text,true,,886,450,6,7,https://api.demoblaze.com/view,407,0,0
1649937466636,534,delete items/view-370,200,OK,Full Transaction Thread Group 2-2,text,true,,473,476,7,8,https://api.demoblaze.com/view,534,0,0
1649937467170,354,delete items/view-378,200,OK,Full Transaction Thread Group 2-2,text,true,,757,450,7,8,https://api.demoblaze.com/view,354,0,0
1649937467524,489,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-2,text,true,,683,493,7,8,https://api.demoblaze.com/deleteitem,489,0,0
1649937468014,388,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-2,text,true,,639,487,7,8,https://api.demoblaze.com/viewcart,388,0,0
1649937468402,585,delete items/view-405,200,OK,Full Transaction Thread Group 2-2,text,true,,724,449,7,8,https://api.demoblaze.com/view,585,0,0
1649937468988,482,delete items/view-406,200,OK,Full Transaction Thread Group 2-2,text,true,,726,450,7,8,https://api.demoblaze.com/view,482,0,0
1649937469470,340,delete items/view-404,200,OK,Full Transaction Thread Group 2-2,text,true,,876,450,7,8,https://api.demoblaze.com/view,340,0,0
1649937469810,428,place order/deletecart-411,200,OK,Full Transaction Thread Group 2-2,text,true,,340,466,7,8,https://api.demoblaze.com/deletecart,428,0,0
1649937469604,1332,contact/imgs/iphone_6.jpg-566,200,OK,Send Message Thread Group 3-1,bin,true,,201570,430,1,7,https://www.demoblaze.com/imgs/iphone_6.jpg,1155,0,0
1649937470935,634,contact/imgs/xperia_z5.jpg-567,200,OK,Send Message Thread Group 3-1,bin,true,,143992,431,1,8,https://www.demoblaze.com/imgs/xperia_z5.jpg,462,0,0
1649937459084,12596,Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-3,,true,,55893,12993,7,8,null,0,11,834
1649937459085,1081,/login-151,200,OK,Full Transaction Thread Group 2-3,text,true,,488,485,3,5,https://api.demoblaze.com/login,1081,0,433
1649937460166,343,/view-202,200,OK,Full Transaction Thread Group 2-3,text,true,,749,452,3,5,https://api.demoblaze.com/view,342,0,0
1649937460509,363,/addtocart-205,200,OK,Full Transaction Thread Group 2-3,text,true,,331,544,3,5,https://api.demoblaze.com/addtocart,363,0,0
1649937460872,524,/addtocart-207,200,OK,Full Transaction Thread Group 2-3,text,true,,331,544,4,6,https://api.demoblaze.com/addtocart,524,0,0
1649937461398,709,/index.html-208,200,OK,Full Transaction Thread Group 2-3,text,true,,19926,517,4,6,https://www.demoblaze.com/index.html,651,0,401
1649937462107,365,/addtocart-258,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,4,5,https://api.demoblaze.com/addtocart,365,0,0
1649937462472,357,/addtocart-260,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,4,5,https://api.demoblaze.com/addtocart,357,0,0
1649937462829,226,/index.html-261,200,OK,Full Transaction Thread Group 2-3,text,true,,19926,518,4,5,https://www.demoblaze.com/index.html,171,0,0
1649937463055,1306,/addtocart-314,200,OK,Full Transaction Thread Group 2-3,text,true,,331,545,5,6,https://api.demoblaze.com/addtocart,1306,0,0
1649937464361,423,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-3,text,true,,742,487,5,6,https://api.demoblaze.com/viewcart,423,0,0
1649937464784,340,cart/view-339,200,OK,Full Transaction Thread Group 2-3,text,true,,798,449,6,7,https://api.demoblaze.com/view,340,0,0
1649937465124,343,cart/view-340,200,OK,Full Transaction Thread Group 2-3,text,true,,755,450,6,7,https://api.demoblaze.com/view,343,0,0
1649937465469,338,cart/view-341,200,OK,Full Transaction Thread Group 2-3,text,true,,783,450,6,7,https://api.demoblaze.com/view,338,0,0
1649937465808,414,cart/view-342,200,OK,Full Transaction Thread Group 2-3,text,true,,691,449,6,7,https://api.demoblaze.com/view,413,0,0
1649937466222,409,cart/view-343,200,OK,Full Transaction Thread Group 2-3,text,true,,872,450,6,7,https://api.demoblaze.com/view,409,0,0
1649937466631,544,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-3,text,true,,340,493,7,8,https://api.demoblaze.com/deleteitem,544,0,0
1649937467176,342,delete items/view-374,200,OK,Full Transaction Thread Group 2-3,text,true,,901,449,7,8,https://api.demoblaze.com/view,342,0,0
1649937467518,495,delete items/view-373,200,OK,Full Transaction Thread Group 2-3,text,true,,811,450,7,8,https://api.demoblaze.com/view,495,0,0
1649937468014,342,delete items/view-372,200,OK,Full Transaction Thread Group 2-3,text,true,,985,450,7,8,https://api.demoblaze.com/view,341,0,0
1649937468356,327,delete items/view-370,200,OK,Full Transaction Thread Group 2-3,text,true,,473,476,7,8,https://api.demoblaze.com/view,327,0,0
1649937468683,336,delete items/view-378,200,OK,Full Transaction Thread Group 2-3,text,true,,703,450,7,8,https://api.demoblaze.com/view,336,0,0
1649937469020,631,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-3,text,true,,689,493,7,8,https://api.demoblaze.com/deleteitem,630,0,0
1649937469651,357,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-3,text,true,,745,487,7,8,https://api.demoblaze.com/viewcart,357,0,0
1649937470009,342,delete items/view-405,200,OK,Full Transaction Thread Group 2-3,text,true,,867,449,6,7,https://api.demoblaze.com/view,342,0,0
1649937470350,389,delete items/view-406,200,OK,Full Transaction Thread Group 2-3,text,true,,779,450,6,7,https://api.demoblaze.com/view,388,0,0
1649937470740,354,delete items/view-404,200,OK,Full Transaction Thread Group 2-3,text,true,,875,450,7,8,https://api.demoblaze.com/view,354,0,0
1649937471095,596,place order/deletecart-411,200,OK,Full Transaction Thread Group 2-3,text,true,,340,466,7,8,https://api.demoblaze.com/deletecart,596,0,0
1649937471569,134,contact/index.html-570,200,OK,Send Message Thread Group 3-1,text,true,,19926,483,1,7,https://www.demoblaze.com/index.html,129,0,0
1649937471703,330,contact/css/latofonts.css-572,200,OK,Send Message Thread Group 3-1,text,true,,1385,423,1,7,https://www.demoblaze.com/css/latofonts.css,330,0,0
1649937472033,487,contact/css/latostyle.css-574,200,OK,Send Message Thread Group 3-1,text,true,,975,423,1,7,https://www.demoblaze.com/css/latostyle.css,487,0,0
1649937472521,527,contact/node_modules/jquery/dist/jquery.min.js-575,200,OK,Send Message Thread Group 3-1,text,true,,35971,430,1,7,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,469,0,0
1649937473049,307,contact/node_modules/video.js/dist/video.min.js-576,200,OK,Send Message Thread Group 3-1,text,true,,160171,431,1,8,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,181,0,0
1649937473356,141,contact/node_modules/video.js/dist/video-js.min.css-573,200,OK,Send Message Thread Group 3-1,text,true,,12411,449,1,8,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,138,0,0
1649937473497,346,contact/node_modules/bootstrap/dist/css/bootstrap.min.css-571,200,OK,Send Message Thread Group 3-1,text,true,,28335,455,1,8,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,340,0,0
1649937461084,13145,Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-4,,true,,40873,12993,7,8,null,0,10,1720
1649937461085,1075,/login-151,200,OK,Full Transaction Thread Group 2-4,text,true,,710,485,4,6,https://api.demoblaze.com/login,1074,0,377
1649937462160,350,/view-202,200,OK,Full Transaction Thread Group 2-4,text,true,,733,452,4,5,https://api.demoblaze.com/view,349,0,0
1649937462510,366,/addtocart-205,200,OK,Full Transaction Thread Group 2-4,text,true,,331,544,4,5,https://api.demoblaze.com/addtocart,366,0,0
1649937462877,372,/addtocart-207,200,OK,Full Transaction Thread Group 2-4,text,true,,331,544,5,6,https://api.demoblaze.com/addtocart,372,0,0
1649937463250,1823,/index.html-208,200,OK,Full Transaction Thread Group 2-4,text,true,,19926,517,5,6,https://www.demoblaze.com/index.html,1766,0,1343
1649937465073,368,/addtocart-258,200,OK,Full Transaction Thread Group 2-4,text,true,,331,545,6,7,https://api.demoblaze.com/addtocart,368,0,0
1649937465443,368,/addtocart-260,200,OK,Full Transaction Thread Group 2-4,text,true,,331,545,6,7,https://api.demoblaze.com/addtocart,368,0,0
1649937465811,187,/index.html-261,200,OK,Full Transaction Thread Group 2-4,text,true,,5205,518,6,7,https://www.demoblaze.com/index.html,186,0,0
1649937465999,378,/addtocart-314,200,OK,Full Transaction Thread Group 2-4,text,true,,331,545,6,7,https://api.demoblaze.com/addtocart,378,0,0
1649937466377,578,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-4,text,true,,855,487,6,7,https://api.demoblaze.com/viewcart,577,0,0
1649937466955,484,cart/view-339,200,OK,Full Transaction Thread Group 2-4,text,true,,769,449,7,8,https://api.demoblaze.com/view,483,0,0
1649937467439,347,cart/view-340,200,OK,Full Transaction Thread Group 2-4,text,true,,753,450,7,8,https://api.demoblaze.com/view,347,0,0
1649937467787,334,cart/view-341,200,OK,Full Transaction Thread Group 2-4,text,true,,790,450,7,8,https://api.demoblaze.com/view,334,0,0
1649937468121,404,cart/view-342,200,OK,Full Transaction Thread Group 2-4,text,true,,781,449,7,8,https://api.demoblaze.com/view,404,0,0
1649937468526,462,cart/view-343,200,OK,Full Transaction Thread Group 2-4,text,true,,867,450,7,8,https://api.demoblaze.com/view,461,0,0
1649937468988,476,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-4,text,true,,552,493,7,8,https://api.demoblaze.com/deleteitem,476,0,0
1649937469464,345,delete items/view-374,200,OK,Full Transaction Thread Group 2-4,text,true,,664,449,7,8,https://api.demoblaze.com/view,345,0,0
1649937469810,348,delete items/view-373,200,OK,Full Transaction Thread Group 2-4,text,true,,838,450,7,8,https://api.demoblaze.com/view,348,0,0
1649937470157,336,delete items/view-372,200,OK,Full Transaction Thread Group 2-4,text,true,,960,450,6,7,https://api.demoblaze.com/view,335,0,0
1649937470493,438,delete items/view-370,200,OK,Full Transaction Thread Group 2-4,text,true,,473,476,6,7,https://api.demoblaze.com/view,438,0,0
1649937470932,465,delete items/view-378,200,OK,Full Transaction Thread Group 2-4,text,true,,635,450,7,8,https://api.demoblaze.com/view,465,0,0
1649937471397,357,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-4,text,true,,531,493,6,7,https://api.demoblaze.com/deleteitem,357,0,0
1649937471755,775,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-4,text,true,,337,487,6,7,https://api.demoblaze.com/viewcart,775,0,0
